Navn;Stasjon;Time;Rain;Temperature;Wind;Snow
Bergen - Florida;SN50540;07.2020;225,6;13,6;13,6;0
Bergen - Florida;SN50540;08.2020;171,7;16,4;12,4;0
Bergen - Florida;SN50540;09.2020;382,8;12,3;13;0
Bergen - Florida;SN50540;10.2020;188,5;9,9;15,2;0
Bergen - Florida;SN50540;11.2020;455;7,9;17,8;0
Bergen - Florida;SN50540;12.2020;236;5,2;11,6;0
Bergen - Florida;SN50540;01.2021;112,4;-0,8;13,8;3
Bergen - Florida;SN50540;02.2021;119,9;0,6;16,6;7
Bergen - Florida;SN50540;03.2021;219,1;4,9;18,3;0
Bergen - Florida;SN50540;04.2021;87,9;5,6;14,1;0
Bergen - Florida;SN50540;05.2021;53,5;11;12,9;0
Bergen - Florida;SN50540;06.2021;109,1;15,1;10,7;0
Bergen - Florida;SN50540;07.2021;105,7;17,2;8,8;0
Bergen - Florida;SN50540;08.2021;66,7;15,5;9,7;0
Bergen - Florida;SN50540;09.2021;180;14;12,4;0
Bergen - Florida;SN50540;10.2021;641,4;9,8;15,9;0
Bergen - Florida;SN50540;11.2021;333,8;6;12,8;0
Bergen - Florida;SN50540;12.2021;131,4;2,7;13,1;-
